MES,POSICION_DIA,HORA_DEL_DIA,HORARIO_TURNO_CATEGORICA,ID_UBICACION_ORIGEN,LATITUD_ORIGEN,LONGITUD_ORIGEN,ID_UBICACION_DESTINO,LATITUD_DESTINO,LONGITUD_DESTINO,TIEMPO_MOVILIZACION,MINUTOS_EN_ESTACION,SERVICE_ID,MINUTOS_EN_ACTIVIDAD,MINUTOS_ALISTAMIENTO,USUARIO_ID,CLUSTER
5,4,14,1,75,3.43935260358881,-76.5373915741497,77,3.42300676194683,-76.5471434261955,14,21,6135,0,19,2,1
5,4,14,1,75,3.43935260358881,-76.5373915741497,77,3.42300676194683,-76.5471434261955,14,21,6135,0,21,2,1
5,4,14,1,75,3.43935260358881,-76.5373915741497,77,3.42300676194683,-76.5471434261955,14,21,6135,0,18,2,1
5,4,14,1,75,3.43935260358881,-76.5373915741497,77,3.42300676194683,-76.5471434261955,14,21,6135,6,11,2,1
5,4,15,2,16,3.41840956522489,-76.5482712818292,40,3.37095244638537,-76.5369932534761,15,48,8373,10,28,2,2
5,5,17,2,16,3.41840956522489,-76.5482712818292,77,3.42300676194683,-76.5471434261955,3,19,6135,0,18,2,1
5,5,17,2,16,3.41840956522489,-76.5482712818292,77,3.42300676194683,-76.5471434261955,3,19,6135,0,16,2,1
5,5,17,2,16,3.41840956522489,-76.5482712818292,77,3.42300676194683,-76.5471434261955,3,19,6135,1,10,2,1
5,5,17,2,16,3.41840956522489,-76.5482712818292,77,3.42300676194683,-76.5471434261955,3,19,6135,7,1,2,1
5,5,17,2,16,3.41840956522489,-76.5482712818292,77,3.42300676194683,-76.5471434261955,3,19,6135,0,15,2,1
5,6,18,2,25,3.40947826448299,-76.5473633540787,77,3.42300676194683,-76.5471434261955,8,35,6135,0,26,2,1
5,6,18,2,25,3.40947826448299,-76.5473633540787,77,3.42300676194683,-76.5471434261955,8,35,6135,0,14,2,1
5,6,18,2,25,3.40947826448299,-76.5473633540787,77,3.42300676194683,-76.5471434261955,8,35,6138,0,19,2,1
5,6,18,2,25,3.40947826448299,-76.5473633540787,77,3.42300676194683,-76.5471434261955,8,35,6135,0,16,2,1
5,6,18,2,25,3.40947826448299,-76.5473633540787,77,3.42300676194683,-76.5471434261955,8,35,6138,0,21,2,1
5,6,18,2,25,3.40947826448299,-76.5473633540787,77,3.42300676194683,-76.5471434261955,8,35,6138,3,5,2,1
5,6,18,2,25,3.40947826448299,-76.5473633540787,77,3.42300676194683,-76.5471434261955,8,35,6138,0,13,2,1
5,6,18,2,25,3.40947826448299,-76.5473633540787,77,3.42300676194683,-76.5471434261955,8,35,6138,0,9,2,1
5,6,18,2,25,3.40947826448299,-76.5473633540787,77,3.42300676194683,-76.5471434261955,8,35,6138,0,11,2,1
5,2,7,1,76,3.44329493503902,-76.5261648326476,32,3.44210427482807,-76.5329592237468,4,12,6135,1,10,2,3
5,2,7,1,76,3.44329493503902,-76.5261648326476,32,3.44210427482807,-76.5329592237468,4,12,6135,9,0,2,3
5,2,9,1,9,3.44428218499245,-76.502484494689,5,3.44402100008543,-76.5209314646704,7,14,6141,3,9,2,3
5,2,9,1,9,3.44428218499245,-76.502484494689,5,3.44402100008543,-76.5209314646704,7,14,6141,7,1,2,3
6,7,16,2,4,3.44481498030605,-76.5085476281698,73,3.44265715161853,-76.5281285653011,8,28,6135,0,1,2,3
6,7,16,2,4,3.44481498030605,-76.5085476281698,73,3.44265715161853,-76.5281285653011,8,28,6135,0,0,2,3
6,6,6,1,5,3.44402100008543,-76.5209314646704,34,3.43453710452703,-76.5138022279781,5,11,6135,0,10,2,3
6,6,6,1,5,3.44402100008543,-76.5209314646704,34,3.43453710452703,-76.5138022279781,5,11,6135,9,0,2,3
6,6,7,1,34,3.43453710452703,-76.5138022279781,38,3.42464409173821,-76.4942797697259,8,17,6135,14,0,2,0
6,6,7,1,34,3.43453710452703,-76.5138022279781,38,3.42464409173821,-76.4942797697259,8,17,6135,0,15,2,0
6,6,7,1,34,3.43453710452703,-76.5138022279781,38,3.42464409173821,-76.4942797697259,8,17,6135,14,0,2,0
6,6,7,1,34,3.43453710452703,-76.5138022279781,38,3.42464409173821,-76.4942797697259,8,17,6135,0,15,2,0
6,6,7,1,38,3.42464409173821,-76.4942797697259,1260,3.41430411223566,-76.4832167677381,8,10,6135,0,9,2,0
6,6,7,1,38,3.42464409173821,-76.4942797697259,1260,3.41430411223566,-76.4832167677381,8,10,6135,7,0,2,0
6,6,7,1,38,3.42464409173821,-76.4942797697259,1260,3.41430411223566,-76.4832167677381,8,10,6135,0,9,2,0
6,6,7,1,38,3.42464409173821,-76.4942797697259,1260,3.41430411223566,-76.4832167677381,8,10,6135,7,0,2,0
6,6,8,1,21,3.41849359094018,-76.4867977476542,65,3.44332180671126,-76.4839397169372,13,15,6135,10,0,2,0
6,6,8,1,21,3.41849359094018,-76.4867977476542,65,3.44332180671126,-76.4839397169372,13,15,6135,0,11,2,0
6,6,8,1,21,3.41849359094018,-76.4867977476542,65,3.44332180671126,-76.4839397169372,13,15,6137,0,13,2,0
6,6,8,1,21,3.41849359094018,-76.4867977476542,65,3.44332180671126,-76.4839397169372,13,15,6138,0,12,2,0
6,6,8,1,21,3.41849359094018,-76.4867977476542,65,3.44332180671126,-76.4839397169372,13,15,6138,0,14,2,0
6,6,11,1,15,3.44524469691041,-76.5148320438954,32,3.44210427482807,-76.5329592237468,6,5,6135,1,4,2,3
6,6,11,1,15,3.44524469691041,-76.5148320438954,32,3.44210427482807,-76.5329592237468,6,5,6135,2,1,2,3
6,6,11,1,15,3.44524469691041,-76.5148320438954,32,3.44210427482807,-76.5329592237468,6,5,6135,1,4,2,3
6,6,11,1,15,3.44524469691041,-76.5148320438954,32,3.44210427482807,-76.5329592237468,6,5,6135,2,1,2,3
6,6,11,1,15,3.44524469691041,-76.5148320438954,32,3.44210427482807,-76.5329592237468,6,5,6135,1,4,2,3
6,6,11,1,15,3.44524469691041,-76.5148320438954,32,3.44210427482807,-76.5329592237468,6,5,6135,2,1,2,3
6,6,11,1,15,3.44524469691041,-76.5148320438954,32,3.44210427482807,-76.5329592237468,6,5,6135,1,4,2,3
