,MINUTOS_EN_ESTACION,TIEMPO_MOVILIZACION,USUARIO_ID,SERVICE_ID,LATITUD_DESTINO,LONGITUD_DESTINO
28637,14,3,20,6135,3.44524469691041,-76.5148320438954
28638,14,3,20,6135,3.44524469691041,-76.5148320438954
28639,14,3,20,6135,3.44524469691041,-76.5148320438954
28640,14,3,20,6135,3.44524469691041,-76.5148320438954
28641,34,15,20,6135,3.42464409173821,-76.4942797697259
28642,34,15,20,6135,3.42464409173821,-76.4942797697259
28643,34,15,20,6135,3.42464409173821,-76.4942797697259
28644,34,15,20,6135,3.42464409173821,-76.4942797697259
28645,8,18,20,6135,3.41430411223566,-76.4832167677381
28646,8,18,20,6135,3.41430411223566,-76.4832167677381
28647,8,18,20,6135,3.41430411223566,-76.4832167677381
28648,8,18,20,6135,3.41430411223566,-76.4832167677381
28649,29,17,20,6138,3.44332180671126,-76.4839397169372
28650,29,17,20,6138,3.44332180671126,-76.4839397169372
28651,29,17,20,6138,3.44332180671126,-76.4839397169372
28652,29,17,20,6138,3.44332180671126,-76.4839397169372
28653,10,18,20,6135,3.42151641185895,-76.4906346476488
28654,10,18,20,6137,3.42151641185895,-76.4906346476488
28655,10,18,20,6137,3.42151641185895,-76.4906346476488
28656,10,18,20,6135,3.42151641185895,-76.4906346476488
28657,10,18,20,6137,3.42151641185895,-76.4906346476488
28658,10,18,20,6137,3.42151641185895,-76.4906346476488
28659,10,18,20,6135,3.42151641185895,-76.4906346476488
28660,10,18,20,6137,3.42151641185895,-76.4906346476488
28661,10,18,20,6137,3.42151641185895,-76.4906346476488
28662,10,18,20,6135,3.42151641185895,-76.4906346476488
28663,10,18,20,6137,3.42151641185895,-76.4906346476488
28664,10,18,20,6137,3.42151641185895,-76.4906346476488
28665,10,18,20,6135,3.42151641185895,-76.4906346476488
28666,10,18,20,6137,3.42151641185895,-76.4906346476488
28667,10,18,20,6137,3.42151641185895,-76.4906346476488
28668,10,18,20,6135,3.42151641185895,-76.4906346476488
28669,10,18,20,6137,3.42151641185895,-76.4906346476488
28670,10,18,20,6137,3.42151641185895,-76.4906346476488
28671,21,14,20,6137,3.44428218499245,-76.502484494689
28672,21,14,20,6137,3.44428218499245,-76.502484494689
28673,21,14,20,6135,3.44428218499245,-76.502484494689
28674,9,16,20,6135,3.44428218499245,-76.502484494689
28675,9,16,20,6137,3.44428218499245,-76.502484494689
28676,9,16,20,6137,3.44428218499245,-76.502484494689
28677,16,6,20,6137,3.44351311183983,-76.4961692335708
28678,16,6,20,6137,3.44351311183983,-76.4961692335708
28679,16,6,20,6135,3.44351311183983,-76.4961692335708
28680,16,6,20,6137,3.44351311183983,-76.4961692335708
28681,16,6,20,6137,3.44351311183983,-76.4961692335708
28682,16,6,20,6135,3.44351311183983,-76.4961692335708
28683,16,6,20,6137,3.44351311183983,-76.4961692335708
28684,16,6,20,6137,3.44351311183983,-76.4961692335708
28685,16,6,20,6135,3.44351311183983,-76.4961692335708
28686,21,17,20,6135,3.41849359094018,-76.4867977476542
28687,21,17,20,6135,3.41849359094018,-76.4867977476542
28688,21,17,20,6137,3.41849359094018,-76.4867977476542
